#separator:tab
#html:false
#deck:Network Automation::Module 1 - Python::S12 Serialization & CSV export
#tags:module1-python session::12 autocor::1.4 autocor::2.2 autocor::3.3 topic::serialization topic::csv topic::dict topic::scope topic::methods
#columns:Front	Back
You can json.dump a dict but not a ConfigAnalyzer object. Why, and what's the fix called?	JSON and CSV understand only primitive data — dicts, lists, strings, numbers, booleans, None. A ConfigAnalyzer is none of those, so json.dump(analyzer, f) raises TypeError: Object of type ConfigAnalyzer is not JSON serializable. The fix is serialization: convert the live object into a plain dict first (to_dict()), then dump the dict. The dict is the portable bridge between your object and any file format or API body. Mental model: the object is a living thing; the dict is its flat passport photo that any format can carry.
Your to_dict() contains no parsing logic of its own. So what does it actually do, and which Session-11 idea does it finally put to use?	to_dict() orchestrates: it calls the object's OWN other methods through self — self.get_hostname(), self.get_interfaces(), self.get_ospf() — and packs their results into one dict. It adds no new parsing; it just assembles. This is the Session-11 point that self reaches the object's methods, not only its data, put to work: one method coordinating the others, all on the same self.data.
Before to_dict(), build_data hand-built {hostname, interfaces, ospf}. Why move that dict assembly into a method on the class?	That dict encodes the knowledge 'a device is described by these fields,' and that knowledge belongs to the object that owns the data — not to build_data, whose job is orchestration (loop files, handle errors). Centralizing it means the shape is defined once: change it (add a version field) in one method and every caller updates. The clincher is the second consumer — JSON and CSV both need the device-as-data; with to_dict() they share one definition instead of each hand-rolling (and drifting) their own. That's DRY.
When is extracting to_dict() arguably overkill, and what tipped your case past that line?	With a single caller that never changes, inlining the dict in build_data works fine and to_dict() would be overkill. It tips the moment a SECOND consumer needs the same shape. Adding CSV export created exactly that: now build_data (for JSON) and export_csv both need a device as plain data. One source (to_dict) beats two hand-built copies that can silently drift. Rule of thumb: one consumer is a judgment call; two consumers means centralize.
Your to_dict() first returned the key 'interface' (singular). Why change it to 'interfaces', and how did the test help?	The value is a LIST of interfaces, so a plural key reads correctly; and your existing output.json already used 'interfaces', so the singular would silently change the JSON schema and break any consumer keyed on the plural. test_to_dict asserts the full expected dict including the exact key, so it pins the contract — keys, structure, and values are locked, and any future drift turns the test red instantly.
In build_data, device.hostname raised AttributeError: 'dict' object has no attribute 'hostname', but analyzer.get_hostname() works. What's the rule?	Objects use dot access (analyzer.get_hostname(), self.data); dicts use square-bracket key access (device['hostname']). device is the dict returned by to_dict(), not an object, so device.hostname tells Python to find an ATTRIBUTE named hostname — which a dict doesn't have — hence AttributeError. A dict's values live behind their keys. Serialization flips the access style: the object speaks dot, the dict it produces speaks brackets.
Can export_csv see the variables inside build_data (its lines, analyzer)? How does data actually get from one function to the other?	No. A function sees only its own parameters, variables it creates inside itself, and module-level names — never another function's locals. Data crosses a function boundary just two ways: IN through arguments, OUT through return. build_data computes the list and returns it; in __main__ that return is stored in data; then export_csv(data, ...) passes it in as a parameter. build_data's internal lines/analyzer never escape — only its return value does. That's scope.
In def export_csv(data, filepath), where do filepath and the loop's device come from — also build_data?	No. filepath is bound to whatever the caller passed — the literal string 'inventory.csv' in the __main__ call — not anything from build_data. device isn't passed at all; it's a local variable created by 'for device in data:', taking one element of data per iteration. Only data traces back (indirectly) to build_data's return. Telling apart a passed-in parameter from a locally-created loop variable is core to reading any function.
In csv.DictWriter(f, fieldnames=fieldnames) (or fieldnames=columns), what are the two sides of the = and why isn't it magic?	It's a keyword argument. The LEFT (fieldnames=) is the parameter name the csv library chose for DictWriter — fixed by its API. The RIGHT is YOUR variable holding the list of column names. So it means 'pass my list into the library's slot called fieldnames.' When both happen to share the name 'fieldnames' it looks redundant, but they're different things; renaming your variable to columns and writing fieldnames=columns works identically and proves it.
writer.writeheader() and writer.writerow() — special library syntax, or something you already understand?	Something you already understand: they're methods on an object. csv.DictWriter(...) returns a writer OBJECT, and writeheader()/writerow() are its methods, called with the same object.method() pattern as analyzer.get_hostname(). The only difference is the csv library built this object, not you. Seeing library tools as 'objects with methods' makes them far less mysterious — you already know how to talk to objects.
