#separator:tab
#html:false
#deck:Network Automation::Module 1 - Python::S11 OOP Refactor (classes)
#tags:module1-python session::11 autocor::1.4 autocor::3.4 autocor::3.3 topic::oop topic::classes topic::self topic::methods topic::refactoring
#columns:Front	Back
Before refactoring, get_hostname(lines), get_interfaces(lines), and get_ospf(lines) all took the same first argument, and build_data read lines once then handed it to each. What smell is that, and what does it argue for?	It's a data-clump / repeated-argument smell: the same value (lines) gets threaded through a whole family of related functions. When one piece of data is the constant companion of several functions, the data and the behavior belong together — that's the case for a class. You bundle lines as the object's state and the three parsers as its methods, so the data is bound once and never threaded around again. Rule of thumb: when you keep passing the same argument into a group of functions, the universe is telling you to make a class.
You objected that turning the parsers into a class 'just renamed lines to self.data' without making the code better. Given it isn't about fewer lines, what's the actual benefit?	Compactness was never the point. Three real wins: (1) single source of truth — bind lines once in the object and every method reads the same self.data, so you can't accidentally parse mismatched configs; (2) one handle to carry and store — an analyzer object bundles config plus behavior, so you can keep a list of them and loop; (3) growing state — the moment you must remember more (a filename, cached results, a live connection, credentials, a logger), the object holds it once, whereas functions force you to thread every extra into every call. Benefit scales with number-of-behaviors x shared state x how often you pass it around.
When is wrapping logic in a class actually overkill, and what made your config parsers worth it?	For a single function on a single piece of data with no state to remember, a class is overkill — a plain function is clearer. A class earns its keep when several related behaviors share the same data and/or the thing must remember state between calls. Your case qualified: three parsers (hostname, interfaces, ospf) all act on one config, and you'll likely grow state (filename, cached results) later. Good engineers don't cargo-cult classes; they reach for one only when state and behavior genuinely belong together.
What's the difference between the class GetConfig and the object you get from a = GetConfig(lines)?	The class is the blueprint: it describes what every analyzer has (a self.data) and can do (get_hostname, etc.) but holds no actual config itself. The object (instance) is one concrete thing built from the blueprint, carrying its own real lines. One class, many independent instances: a = GetConfig(r1_lines) and b = GetConfig(r2_lines) are two separate objects, each with its own self.data, and they don't interfere. Blueprint versus the houses built from it.
You never call __init__ yourself, yet self.data gets set every time you build an object. How?	__init__ is a special method Python runs automatically the instant you construct an instance with GetConfig(lines). Its job is setup: take what the object needs at birth (the lines parameter) and store it on the object (self.data = lines). So GetConfig(lines) makes a blank object, immediately calls __init__ on it to populate self.data, then hands the finished object back. You trigger it by constructing — never by calling __init__ directly.
Inside the class you write self; outside you wrote a. Are they different things, and why two names for it?	Same object, two vantage points. self is the inside-name: when writing the blueprint you don't yet know what the caller will name their object, so self stands for 'whichever instance this method was called on.' a (or b, c, analyzer) is the outside-name chosen at creation. During a.get_hostname(), a IS self for that call. self exists only inside the class's methods; the moment you're in a test or build_data, self is meaningless and you use the object's real name.
Your recurring confusion: when do you write self, when self.data, and when lines? What's the single deciding question?	Ask 'where is this line of code?' Defining a method -> the first parameter is self (the slot that catches the object). Inside a method, needing the stored config -> self.data (reach the object's remembered state). Inside a method, a throwaway value -> a plain name (line, parts), no self. Outside the class (test or build_data) -> no self at all; construct with GetConfig(lines) and talk to it as a.method(). After the refactor, 'lines' lives only in __init__ (the inbound parameter) and outside the class (an ordinary variable) — it no longer appears inside the parser methods, where it became self.data.
In get_hostname you wrote self.data but plain parts and line. Could you have written self.parts, and should you?	It would run, but you shouldn't. The rule: put self. on something only if the object should remember it after the method ends. self.data is long-lived state the object owns. parts and line are scratch — temporary values needed only during this loop and discarded when the method returns. Writing self.parts would litter every object with leftover junk state from the last line it processed, for zero benefit. Long-lived state -> self.x; throwaway working value -> plain x.
Why is a = GetConfig.get_hostname(lines) wrong, and what does it actually do?	It conflates two distinct steps. To CREATE an object you call the class name with parentheses — GetConfig(lines) — which runs __init__ and returns the instance. GetConfig.get_hostname(lines) instead calls the get_hostname method straight off the class and shoves lines into the self slot, so inside the method self is your list and self.data doesn't exist -> AttributeError ('list' object has no attribute 'data'). Construct first (a = GetConfig(lines)), then ask (result = a.get_hostname()): build the container, then extract one fact — two separate operations.
When you call a.get_hostname(), why are the parentheses empty even though the method needs the lines, and why don't you pass self?	Because the data already lives inside the object as self.data, so nothing needs handing in. And you never pass self: Python rewrites a.get_hostname() into GetConfig.get_hostname(a), automatically inserting the object-before-the-dot as the first argument. self is filled for you. Passing it yourself (a.get_hostname(self) or a.get_hostname(a)) is wrong — you'd be supplying the hidden argument twice.
You deleted self from def get_hostname(self) and pytest said 'takes 0 positional arguments but 1 was given.' You passed nothing — so what was the 1?	The 1 is the object itself. a.get_hostname() is sugar for GetConfig.get_hostname(a) — Python always auto-passes the object as the first argument, which normally lands in self. With self deleted, the method advertises 0 parameters while Python still inserts a as 1 argument -> mismatch -> TypeError. This is the definition of self proven by breaking it: the object is always passed as the hidden first argument, and self is just the parameter that catches it. Remove the catcher and the auto-passed object has nowhere to go.
Removing self from get_hostname broke only test_hostname; the get_interfaces, get_ospf, and read_confg tests stayed green. Why?	A bug only surfaces in tests whose code path actually reaches it. Only test_hostname calls a.get_hostname(), so only it hit the broken signature. The other tests call different methods (or read_confg) whose self was still intact, so they ran fine. Same principle as Session 10: each test is independent, and a fault is invisible to any test that never exercises it — which is exactly why you cover multiple paths.
When the TypeError fired, pytest marked test_hostname FAILED, not an 'error' like the Session-10 collection problem. What's the distinction?	ERROR (collection) = pytest couldn't even load or collect the test — a syntax or import problem, before any test runs. FAILED = the test was collected and ran, then either an assert was false OR it raised an exception mid-execution (your TypeError, shown with a traceback). Here the file imported fine and the test executed before blowing up, so it's a FAILED with a traceback, not a collection ERROR. Three outcomes to recognize: assert false -> FAILED; exception while running -> FAILED (traceback); can't even load -> ERROR.
build_data wraps parsing in except (OSError, UnicodeDecodeError). If a TypeError happened there, would it be caught — and would later lines in the same try still run?	No on both. An except clause catches only the exception types you list; TypeError is neither OSError nor UnicodeDecodeError, so it would propagate uncaught and crash the program. And within a single try block, the instant a line raises, the remaining lines in that block are skipped — control jumps straight to except. (Separate test functions are different: each is isolated, so one failing test doesn't stop the others from running.)
When refactoring into the class, why did read_confg and ipadd stay as module-level functions instead of becoming methods?	read_confg is the impure I/O shell — its whole job is touching the disk, not parsing the in-memory lines the object holds; you deliberately keep file I/O out of the pure parsing core (functional-core / imperative-shell). ipadd is a pure helper that works only on the value handed to it and never reads self.data, so forcing it to take self would be a lie about what it needs. Both are fine as module functions. If you later wanted ipadd to live in the class for organization without using the instance, the proper tool is @staticmethod.
Describe the safe order you used to swap functions for a class without losing the test safety net, and why the order matters.	1) Establish a green baseline (pytest = 6 passed) so you know green was true before touching anything. 2) Add the class methods ALONGSIDE the standalone functions — tests still call the functions, still green. 3) Switch the tests and build_data to use the class and run pytest — green proves the methods behave identically while the originals still exist as a fallback. 4) Only THEN delete the standalones; green again proves the class fully replaced them. Order matters because deleting first would break the import and turn everything red at once, destroying the signal that each small step preserved behavior.
Switching the tests over to the class, what three things changed and what stayed the same?	Changed: (1) the import — from config_analyzer import GetConfig (the class) instead of the standalone parsers; (2) Arrange grew a second job — construct a = GetConfig(lines) before acting; (3) Act now calls the method on the instance, result = a.get_hostname(). Unchanged: the @parametrize table, the assert lines, and test_read_confg entirely — because read_confg stayed a module-level function, so its test never touched the class.
Before deliberately breaking get_hostname to study the symptom, why commit the green refactor first?	A green commit is a clean restore point. Deliberately introducing a fault to learn from its symptom is safe when git can undo it with a single git restore. Committing at green checkpoints means any experiment — intentional or accidental — is one command from recovery, and it records a known-good state in history. It's the same safety-net mindset as the tests, applied to your working tree (AUTOCOR 2.1).
How does bundling state and behavior in your GetConfig class mirror the network libraries you'll use, like Netmiko?	Identically. ConnectHandler(host, username, password) returns an object holding the live SSH session as internal state; you then call methods on it: conn.send_command(...), conn.send_config_set(...), conn.disconnect(). You never re-pass host, credentials, or the socket into each call — the object remembers them, exactly like your analyzer remembers self.data and answers get_hostname()/get_interfaces() without re-receiving lines. requests' Session and ncclient's manager work the same way. Learning this pattern is learning how the whole automation ecosystem is built (AUTOCOR 1.4).
