#separator:tab
#html:false
#deck:Network Automation::Module 1 - Python::S4-5 Indexing, Regex & os
#tags:module1-python session::4-5 autocor::1.4 topic::regex topic::os-module topic::indexing
#columns:Front	Back
You have a config line at position i, and you need to read the network statements 3 lines below it. Why does "lines[j]" work but "line[j]" gives you garbage?	"line" is the single current line (one string) at position i. Indexing a string gives a CHARACTER, so line[99] is the 100th letter of that one line. "lines" is the whole list, so lines[99] is the entire line at position 99. To look ahead at OTHER lines, you must index the full list with lines[j].
In get_interfaces you "break" right after finding the IP, but in get_ospf you must NOT break after finding a network. Why the difference?	An interface has only ONE ip address, so once you find it, you're done — break saves work. An OSPF block has MULTIPLE network statements you want to collect, so breaking after the first would miss the rest. You only break when you hit "!" (the block ended).
Why do you write your regex pattern as r"network (\S+)" with an "r" in front instead of just "network (\S+)"?	The "r" makes it a raw string, so Python doesn't try to interpret backslashes (like \S or \d) as special escape characters. Without r, Python might mangle the backslashes before regex even sees them. Always use r"..." for regex patterns to be safe.
In the regex "network (\S+) (\S+) area (\d+)", what is the difference between \S+ and \d+, and what do the parentheses do?	\S+ means "one or more non-space characters" (matches IPs like 10.1.1.0). \d+ means "one or more digits" (matches the area number). The parentheses () are capture groups — they mark the pieces you want to pull out later with match.group(1), group(2), group(3).
Why do you check "if match:" before calling match.group(1)?	re.search returns None when the pattern is not found (like on a blank line or "ip forward-protocol nd"). Calling .group(1) on None would crash. "if match:" confirms a match was actually found before you try to grab the captured pieces.
You used both .split() (for interfaces) and re.search() (for OSPF) to extract data. When is regex worth using over a simple .split()?	.split() works great when fields are cleanly separated by spaces and always in the same position. Regex is better when you need to validate the FORMAT, handle inconsistent spacing, or capture only specific patterns (like digits vs any text) from a line. For OSPF networks, regex lets you confirm the line truly matches "network X Y area Z" before extracting.
What does "import os" actually give you, and why don't you need to import string methods like .strip()?	import os loads an external toolkit for talking to the operating system (listing folders, joining paths, checking if files exist). String methods like .strip() are built into every string automatically — no import needed. Some tools are built in; others (os, re) must be explicitly loaded.
Why use os.path.join("sample_configs", "R1_config.txt") instead of just writing "sample_configs/R1_config.txt" yourself?	os.path.join builds the path correctly for whatever operating system you're on (slashes differ between Mac/Linux and Windows) and avoids mistakes like missing or doubled slashes. os.listdir gives you only filenames, so join reattaches the folder to make a usable full path.
Your output printed R2 before R1. Why did that happen, and how does sorted(os.listdir(folder)) fix it?	os.listdir returns files in whatever order the operating system stored them — not alphabetical, not predictable. Wrapping it in sorted() returns the filenames in alphabetical order, so R1 reliably comes before R2 every time you run it.
Across get_hostname, get_interfaces, and get_ospf, the file is only read ONCE (in read_confg). Why is that better than each function opening the file itself?	Reading a file from disk is slow and each function would repeat the same work. read_confg reads it once into a list, then that same list is passed to every function. This is faster, avoids the "file already read to the end" problem, and keeps each function focused on parsing — not on file handling.
