Front	Back
Why can't you call .readlines() on a file after already looping through it with "for line in f:"?	A file is like a tape player — once you loop through it, the "playhead" is at the end. There's nothing left to read. You need to either open the file again or use readlines() BEFORE looping.
You find "interface GigabitEthernet0/0" on line 69. The IP address is on line 72. Why does "for line in f:" fail here, but readlines() with indexing works?	"for line in f:" only gives you the current line — you can't look ahead or jump to line 72. readlines() stores ALL lines in a list, so you can access any position with y[72] or y[i+3] whenever you need to look at nearby lines.
In "for i, line in enumerate(lines):" — why do you need TWO variables? What breaks if you write "for i in enumerate(lines):"?	enumerate() gives you two things each iteration: position number AND the item. With one variable, Python stuffs both into a single tuple like (69, "interface Gig0/0\n") which is messy to work with. Two variables unpack them cleanly into separate pieces.
Your code says "if 'ip address' in y[j]" but crashes on a line that says "no ip address". Why? How do you fix it?	The string "ip address" exists inside "no ip address" — Python just checks if those characters appear anywhere in the line. Fix: add "and 'no ip address' not in y[j]" to exclude lines that are explicitly disabling the IP.
You wrote return inside a for loop that finds interfaces. Your function only returns the first interface. Why? How do you get ALL of them?	return immediately exits the function — it doesn't wait for the loop to finish. To collect all results: create an empty list before the loop, .append() each result inside the loop, then return the list AFTER the loop ends.
get_interfaces(lines) receives "lines" as a parameter. Why don't you need to call readlines() inside it?	read_confg() already called readlines() and returned the list. When you pass that list to get_interfaces, it's already a list of strings — not a file object. readlines() only works on file objects, not on lists that already exist.
Why does "with open(filepath, 'r') as f:" need the "as f" part? What happens if you skip it?	"as f" gives you a handle — a name to reference the opened file. Without it, the file opens but you have no way to read from it on the next lines. "f" is just a name you choose (could be anything) that lets you call f.readlines() or loop with "for line in f:".
You wrote print() inside a function but get_hostname uses return instead. When would you use return over print?	print() shows text on screen and that's it — the value disappears. return sends a value BACK to the code that called the function, so you can store it, pass it to another function, or use it later. Functions that return values are reusable; functions that only print are not.
line.strip().startswith("hostname") chains two methods. What would go wrong if you skipped .strip() and just checked line.startswith("hostname")?	Each line from a file has invisible characters — \n at the end, and possibly leading spaces. If the line is "  hostname R1\n", startswith("hostname") returns False because it starts with spaces. strip() removes that junk first so the check works reliably.
You have 100 router configs. Why are functions better than copy-pasting your parsing code 100 times?	Functions let you write the logic once and call it with different inputs. "for config in all_configs: get_hostname(read_confg(config))" works for 100 files with no copy-paste. If you find a bug, you fix it in one place instead of 100 places.
