#separator:tab
#html:false
#deck:Network Automation::Module 1 - Python::S10 Automated Testing (pytest)
#tags:module1-python session::10 autocor::3.4 autocor::3.3 topic::pytest topic::parametrize topic::fixtures topic::testing
#columns:Front	Back
You refactor config_analyzer, the code "looks fine," and you're tempted to ship it. What do automated tests give you that carefully reading the code never can?	Two things reading can't deliver. First, regression safety: a test actually runs the code against known inputs and checks the output, so it catches a behavior change you'd never spot by eye — especially in a function you didn't touch but accidentally affected. Second, executable documentation: each test states "for this input the answer must be exactly this," pinning the function's contract so future-you or a teammate can see intended behavior and trust that a green run means nothing broke. Reading only proves the code looks right; tests prove it behaves right, every single time you run them.
pytest can end a test three ways — a dot (.), a failure, and an error — and you hit all three this session. What is the difference between a failure and an error?	A failure means the test ran to completion but an assert was false: the code executed and produced the wrong answer (e.g. assert 'unknown' == 'R1'). An error means pytest could not even run the test — it blew up before or around the assert, usually a syntax slip or bad import (your stray collection error). The signals differ: a failure points at your code's behavior or your expected value, while an error points at the test's plumbing. Read which one you got first — it tells you whether to debug the logic or fix the setup.
Every test you wrote has three parts: lines that build data, one line that calls the function, one line that checks. Why force this Arrange-Act-Assert shape instead of just "checking stuff"?	AAA separates the three distinct jobs of a test so each is obvious and only one thing is under test. Arrange builds the exact input (a list of lines, or a temp file); Act calls the function once and captures the return in result; Assert compares result to the expected value. Keeping Act to a single call means when the test fails you know precisely which function produced the wrong answer — mixing setup, calls, and checks together makes failures ambiguous. It is the universal skeleton: every test you ever write, in any language, is some version of arrange, act, assert.
Your very first test fed lines = "R1" (a string) to get_hostname and it returned "unknown", not "R1". Why did a perfectly good function seem to fail?	The function was not broken — the input shape was wrong. get_hostname does `for line in lines`, and iterating a string yields its characters one at a time: 'R', then '1'. Neither character .startswith("hostname"), so nothing matched and it fell through to `return "unknown"`. The function expects a list of full config lines (what read_confg produces), e.g. ["hostname R1"]. The lesson: when a function returns its fallback for input you believe is valid, suspect the shape of what you passed — iterating a str vs a list is a classic trap.
What single rule would have prevented your "R1" string bug, and where do you look to discover the correct input shape for any function?	The rule: a test must feed the function the same shape of data it receives in production. To find that shape, trace where the function gets its input in the real run. get_hostname is called on read_confg's output, and read_confg returns f.readlines() = a list of line-strings. So every test for the parser functions must Arrange a list of lines, never a bare string. Match production's data shape and the function behaves in the test exactly as it does for real.
test_get_hostname (a config that has a hostname) already passed green. Why bother adding test_get_hostname_missing for the "unknown" case — isn't one passing test enough?	One test only proves the happy path. Your function also makes a promise for the unhappy path — `return "unknown"` when no hostname exists — and nothing guards that promise. If a future edit deleted that line, the happy-path test would stay green while the fallback silently broke. The second test documents the intended fallback and protects it, turning "I think it returns unknown" into "it is proven to return unknown." Good suites cover both the path that works and the paths that degrade or fail.
You changed return parts[1] to parts[0]; test_get_hostname went red but test_get_hostname_missing stayed green. Why did only one test catch the bug?	A bug only surfaces in tests whose input actually reaches the broken line. parts[0] is the word "hostname" and parts[1] is "R1", so the happy-path test (which has a real hostname line) reached line 40 and got "hostname" instead of "R1" — fail. The missing-hostname test feeds input that never passes startswith("hostname"), so it never reaches line 40 at all and returns "unknown" as always — pass. That is the entire argument for testing multiple paths: a single test can leave a real bug completely invisible.
Your get_interfaces assert is == [{"name": "interface GigabitEthernet0/0", "ip": "10.1.1.1", "mask": "255.255.255.0"}]. Beyond "does it pass," what is that one line doing for you long-term?	It pins down the function's exact output contract — the return is a list, it holds dicts, the keys are name/ip/mask, the values are strings, and name carries the literal "interface " prefix. That is a precise, executable spec. If a later refactor changed any of it (stripped "interface ", renamed a key, returned a tuple), this test goes red instantly and shows you exactly what drifted. The assert is simultaneously your test and your documentation of what get_interfaces is supposed to produce.
Why does config_analyzer guard with `and "no ip address" not in line`, and how does your no-ip test protect that exact decision?	Because "ip address" is a substring of "no ip address" — a naive `if "ip address" in line` would wrongly match a shutdown interface's `no ip address` line and try to parse an IP that is not there. The guard explicitly excludes that case. Your test_get_interfaces_no_ip feeds a block whose only address line is "no ip address" and asserts the result is [] (nothing collected). If anyone ever deleted that guard, the test would catch the regression — it documents why the defensive code exists and stops a future edit from quietly reintroducing the bug.
Tests 3 and 4 were near-identical: same Act, same assert shape, only the input and expected differed. What principle says "fix this," and what does parametrize do about it?	The DRY principle — Don't Repeat Yourself. Copy-pasting a whole test function just to swap two values doubles the maintenance and lets the copies silently drift apart. @pytest.mark.parametrize lets you write the test body once and hand pytest a table of (input, expected) rows; it runs the body once per row, and each row counts as its own independent test with its own pass/fail. Adding a case becomes a one-line tuple instead of a new function — exactly what you saw when CORE-SW1 became a full test by adding a single line.
Your first parametrize row was ("hostname R1\n", "!\n", "interface...\n", "R1") and pytest errored. Given you declared "lines, expected", why did it fail?	"lines, expected" declares two parameters, so every row must be a 2-item tuple: item 1 fills lines, item 2 fills expected. You flattened the config lines into the tuple, making four separate items — pytest tried to map 4 values onto 2 names and failed. The fix is to wrap the lines in their own list so the row is (a list, a string): (["hostname R1\n", "!\n", "interface...\n"], "R1"). Position maps to the parameter names, and the first position must be the whole input as one object.
You called get_hostname "easy" to test but read_confg "awkward." What single property makes the difference?	Purity. get_hostname is a pure function — list in, value out, no contact with the outside world — so a test just passes a list and checks the return; deterministic and trivial. read_confg has a side effect: its whole job is to open a real file on disk, so you cannot test it with a plain value — an actual file must exist. Side effects are what make code awkward to test, which is exactly why a functional-core / imperative-shell design keeps parsing logic pure and isolates file I/O: the pure core stays trivial to test, and only the thin shell needs heavier machinery.
To test read_confg you wrote def test_read_confg(tmp_path). What is tmp_path, how did it get into your function, and why not just read sample_configs/R1_config.txt?	tmp_path is a built-in pytest fixture — setup pytest prepares and injects simply because you named it as a parameter (pytest sees the name, runs the fixture, passes in the result). It hands you a fresh, unique temporary directory that pytest auto-deletes after the test. You create a file in it, run read_confg, assert, and leave no trace. Reading the real sample file would make the test fragile (breaks if that file is edited, fails where the path differs) and couple it to external state; tmp_path makes the test self-contained, repeatable, and parallel-safe.
Your read_confg test asserts == ["hostname R1\n", "interface Gig0/0\n"] — why must the \n be in there, and how does this connect to every .strip() call in your parser?	readlines() splits the file at each newline but keeps the \n on the end of every line, so each returned string carries a trailing newline. Drop the \n from your expected list and the assert fails on an invisible character. This is the very reason your parser functions call line.strip() before matching — the lines arrive "dirty" with newlines (and possible spaces) attached, and strip() cleans them so startswith() and split() work. Mental model: readlines hands you raw lines with newlines, and strip is how you normalize them.
read_confg ends with `return f.readlines()`, where f is a file handle inside the function. How does that become your `result` in the test, and what happens to f?	A function call evaluates to whatever the function returns. `return f.readlines()` computes the list of lines and hands that list back to the caller, then the function ends. So `result = read_confg(config_file)` runs the function and stores the returned list in result. f is a local name — it exists only inside the function (only inside the `with` block), never escapes, and the caller never sees it; the `with` closes the file on the way out. Only the return value leaves the function. It is the identical mechanism as result = get_hostname(lines) capturing get_hostname's returned string.
You adopted the habit "make a change, run pytest, trust the result." What is that habit called in the AUTOCOR exam world, and what is the network-specific tool for it?	It is change validation (AUTOCOR Domain 3.4): proving a change did not break expected behavior by running automated checks. pytest is the general-purpose version, asserting on parsed strings and data structures. The network-specific equivalent is pyATS (with its Genie library), which runs the same idea against live device state — collecting interface, OSPF, and routing facts and asserting they match expectations after a change. Same muscle (known input or state, run, assert, trust green) pointed at real infrastructure instead of Python objects.
