#separator:tab
#html:false
#deck:Network Automation::Module 1 - Python::S13 Sets & Tuples (config diff)
#tags:module1-python session::13 autocor::1.4 autocor::3.4 autocor::3.3 topic::sets topic::tuples topic::hashable topic::json topic::logging
#columns:Front	Back
In Python, what are the two defining properties of a set (written {1, 2, 3}) that make it different from a list ([1, 2, 3]), and what two superpowers do you get in return?	A set has two defining properties: (1) NO duplicates — adding the same item twice stores it once, so {1, 2, 2, 3} becomes {1, 2, 3}; and (2) NO order — it is an unordered bag, so you cannot index it like myset[0]. In return you gain: (1) near-instant membership testing (x in myset is roughly O(1) because it jumps to a hash bucket, whereas a list must scan every element); and (2) set algebra operators (- & | ^) for comparing two collections directly. A list keeps order and allows duplicates and is for 'everything in sequence'; a set is for 'unique things I want to compare or test membership on'.
What does 'hashable' mean in Python, why does it require immutability, and which common built-in types are hashable vs not?	Hashable means Python can compute a fixed number (a hash) from the object's contents that never changes for the object's lifetime. Sets and dicts use that hash to decide which internal bucket to file an item in, which is what makes lookups near-instant. If an object could change after being stored, its hash would change and it would end up in the wrong bucket, so only IMMUTABLE objects are allowed to be hashable. Hashable (immutable): int, float, bool, str, tuple, frozenset, bytes, None. NOT hashable (mutable): list, dict, set, bytearray. This is the rule that decides what can go inside a set or be a dict key.
Give a concrete example showing a string is immutable but a dict is mutable, and state which is which.	A STRING is immutable: with s = 'hello', writing s[0] = 'H' raises TypeError ('str' object does not support item assignment); and s = s.upper() does NOT edit 'hello' — it builds a brand-new string 'HELLO' and points s at it, leaving the original untouched. A DICT is mutable: with d = {'area': '0'}, writing d['network'] = '10.1.1.0' edits the SAME dict in place, no new object created. That in-place changeability is exactly why a dict cannot be hashed (its hash would move) and therefore cannot go inside a set — while a string, being immutable, is hashable and can.
The task was to put OSPF records into a set to compare two devices. Each record is a dict like {'network': '10.1.1.0', 'wildcard': '0.0.0.255', 'area': '0'}. Why can you NOT do set(device['ospf']) directly, and what is the fix?	device['ospf'] is a LIST of DICTS. A set can only hold hashable (immutable) items, and dicts are mutable and therefore unhashable, so trying to build a set of dicts raises TypeError: unhashable type: 'dict'. The fix is to convert each dict into a TUPLE of its values — ('10.1.1.0', '0.0.0.255', '0') — because a tuple is immutable and hashable, so a set accepts it. Pattern: to make structured records set-comparable, freeze each one into a tuple of its fields.
Why does the order of values inside the OSPF tuple ('10.1.1.0', '0.0.0.255', '0') matter when comparing two devices' sets?	Because a tuple compares by POSITION: two tuples are equal only if they hold the same values in the same slots. So ('10.1.1.0', '0.0.0.255', '0') from R1 equals R2's tuple only if R2's tuple was built in the identical field order (network, wildcard, area). The real rule is not any specific networking order — it is CONSISTENCY: build every tuple in the same field order everywhere, or identical routes will look different (e.g. if one device used (area, network, wildcard)). Consistent construction is what makes set comparison correct.
How do you create an EMPTY set in Python, and why can't you write {} for it?	Use the constructor set(). You cannot use {} because Python already assigns {} to the empty DICT — so {} is an empty dict, not a set. (An empty set has no literal syntax; {1, 2} is a set only because it has elements.) This mirrors list() for an empty list and dict() for an empty dict. Trap seen this session: starting an accumulator with result = {} intending a set actually gives a dict; the correct start is result = set().
Given two sets of OSPF route tuples, r1 and r2, what do the operators r1 - r2, r1 & r2, r1 | r2, and r1 ^ r2 each return?	r1 - r2 = difference: tuples in r1 but NOT in r2 (routes R1 advertises that R2 does not). r1 & r2 = intersection: tuples in BOTH (routes both advertise). r1 | r2 = union: tuples in either. r1 ^ r2 = symmetric difference: tuples in exactly one, not both. This set algebra is why sets were chosen for a config-diff: comparing two devices' routes becomes one operator each, replacing what would otherwise be three nested loops manually checking 'is this one also in the other list?'.
In the config-diff, only_in_a used a - b while only_in_b used b - a. Why does the ORDER around the minus sign matter for difference, when it did NOT matter for intersection a & b?	Difference is directional: a - b means 'in a but not in b' and b - a means 'in b but not in a' — different questions with different answers (R1's exclusive routes vs R2's exclusive routes). Intersection is symmetric: a & b and b & a both mean 'in both', so order is irrelevant there. Rule: subtraction and 'only in X' are order-sensitive; intersection and union are order-independent.
This session added the functions ospf_networks(device) and compare_ospf(dev_a, dev_b) as module-level functions, NOT methods inside the ConfigAnalyzer class. What is the decision rule for method vs standalone function?	Ask whose data it acts on. A METHOD acts on ONE instance's self.data (one device's config lines) — e.g. get_hostname, get_interfaces, to_dict. A standalone FUNCTION operates on plain already-parsed data or on MANY devices — e.g. build_data (walks the whole folder, builds many analyzers), export_csv (writes the whole inventory), and ospf_networks/compare_ospf (take plain device dicts, not a live object with self.data). Tell for build_data: if it were a method, which instance would it belong to? It creates the instances and never uses self, so it is inventory-level, hence a function. Rule: needs one device's self.data -> method; operates on plain data or the whole collection -> function.
In def ospf_networks(device): the parameter 'device' is never defined inside the function. Where does its value come from at runtime?	'device' is a PARAMETER, filled by whatever the caller passes in — data enters a function only through its arguments (scope). It is meant to be ONE plain device dict, i.e. one element of the list that build_data() returns (one to_dict() output like {'hostname': ..., 'interfaces': [...], 'ospf': [...]}). In the verification one-liner, data = json.load(open('output.json')) gave the list and data[0] (R1's dict) was passed in as device. The function only declares it needs a device; the caller provides one.
build_data() returns a list; to compare R1 and R2 you wrote compare_ospf(data[0], data[1]). Why is indexing by position fragile, and what is a more robust approach?	build_data walks sorted(os.listdir(folder)), so alphabetically data[0] is R1 and data[1] is R2 today. That is fragile: adding R0_config.txt, or a file failing and shifting positions (build_data also appends error records), can make data[0] no longer R1. A robust approach is to select by identity, not position: loop data and match device['hostname'] == 'R1', or build a lookup dict {device['hostname']: device for ...} and index by hostname. Positional indexing is fine for a quick check but not production-grade.
compare_ospf returns { 'only_in_a': <set>, 'only_in_b': <set>, 'in_both': <set> } and json.dump(result) raised TypeError: Object of type set is not JSON serializable. Since a dict CAN be serialized, why did it fail, and on what exactly?	The return value is a DICT whose VALUES are sets. json.dump starts on the dict (dict -> JSON object, fine) then DESCENDS into each value to serialize it, and chokes the moment it reaches a value that is a set — because JSON has no set type. So the failure is not the dict as a whole; it is a nested set value. JSON's only value types are object (dict), array (list), string, number, boolean, null — no 'set'. Lesson: serialization walks the whole structure, so an unserializable value buried inside an otherwise-fine dict still breaks the dump.
A set of OSPF tuples would not JSON-serialize, but the device list (data) dumped fine and — surprisingly — the tuples themselves are fine too. Explain.	JSON maps Python types like this: dict -> object, list -> array, str -> string, numbers/bool/None directly. It has NO set type, so a set raises TypeError. A TUPLE, however, DOES serialize — JSON turns it into an array, so ('10.1.1.0', '0.0.0.255', '0') becomes ['10.1.1.0', '0.0.0.255', '0']. So in a set-of-tuples, the culprit is only the outer set container, not the tuples inside. data (a list of dicts of strings) maps cleanly, which is why it dumped without complaint.
